Border,Date,Measure,Value,Average
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,8399.0
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,162064.0
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,419175.0
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,177702.0
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,24091.0
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,2489564.0
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,6136398.0
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,18537.0
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,2440.0
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,12803.0
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,31860.0
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,9791.0
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,5222237.0
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,14044657.0
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3120322.0
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,255176.0
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,134187.0
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,106850.0
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,9474.0
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,137847.0
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,644.0
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,12493.0
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,12631.0
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,1000.0
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,5222237.0
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,106850.0
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,419175.0
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,177702.0
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,24091.0
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,8399.0
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,6136398.0
